,id_zona,inizio,durata
0,88,2020-03-01 00:31:13,1829.0
1,79,2020-03-01 00:43:19,908.0
2,113,2020-03-01 00:04:43,1114.0
3,237,2020-03-01 00:43:21,1875.0
4,249,2020-03-01 00:15:43,1874.0
5,230,2020-03-01 00:14:43,1337.0
6,263,2020-03-01 00:56:56,1011.0
